iter	Passed	Remaining
0	1	142
1	2	127
2	3	121
3	4	113
4	5	113
5	7	111
6	8	109
7	9	109
8	10	107
9	11	106
10	13	105
11	14	105
12	15	104
13	16	102
14	17	101
15	19	100
16	20	99
17	21	97
18	22	96
19	23	95
20	24	93
21	26	92
22	27	91
23	28	90
24	29	89
25	30	87
26	31	86
27	33	85
28	34	84
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	51	65
44	53	64
45	54	63
46	55	62
47	56	61
48	57	59
49	59	59
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	12
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	114	4
96	115	3
97	116	2
98	118	1
99	119	0
